"constraint_name","table_name","definition"
"customer_address_id_fkey","customer","FOREIGN KEY (address_id) REFERENCES address(address_id) ON UPDATE CASCADE ON DELETE RESTRICT"
"film_actor_actor_id_fkey","film_actor","FOREIGN KEY (actor_id) REFERENCES actor(actor_id) ON UPDATE CASCADE ON DELETE RESTRICT"
"film_actor_film_id_fkey","film_actor","FOREIGN KEY (film_id) REFERENCES film(film_id) ON UPDATE CASCADE ON DELETE RESTRICT"
"film_category_category_id_fkey","film_category","FOREIGN KEY (category_id) REFERENCES category(category_id) ON UPDATE CASCADE ON DELETE RESTRICT"
"film_category_film_id_fkey","film_category","FOREIGN KEY (film_id) REFERENCES film(film_id) ON UPDATE CASCADE ON DELETE RESTRICT"
"film_language_id_fkey","film","FOREIGN KEY (language_id) REFERENCES language(language_id) ON UPDATE CASCADE ON DELETE RESTRICT"
"fk_address_city","address","FOREIGN KEY (city_id) REFERENCES city(city_id)"
"fk_city","city","FOREIGN KEY (country_id) REFERENCES country(country_id)"
"inventory_film_id_fkey","inventory","FOREIGN KEY (film_id) REFERENCES film(film_id) ON UPDATE CASCADE ON DELETE RESTRICT"
"payment_customer_id_fkey","payment","FOREIGN KEY (customer_id) REFERENCES customer(customer_id) ON UPDATE CASCADE ON DELETE RESTRICT"
"payment_rental_id_fkey","payment","FOREIGN KEY (rental_id) REFERENCES rental(rental_id) ON UPDATE CASCADE ON DELETE SET NULL"
"payment_staff_id_fkey","payment","FOREIGN KEY (staff_id) REFERENCES staff(staff_id) ON UPDATE CASCADE ON DELETE RESTRICT"
"rental_customer_id_fkey","rental","FOREIGN KEY (customer_id) REFERENCES customer(customer_id) ON UPDATE CASCADE ON DELETE RESTRICT"
"rental_inventory_id_fkey","rental","FOREIGN KEY (inventory_id) REFERENCES inventory(inventory_id) ON UPDATE CASCADE ON DELETE RESTRICT"
"rental_staff_id_key","rental","FOREIGN KEY (staff_id) REFERENCES staff(staff_id)"
"staff_address_id_fkey","staff","FOREIGN KEY (address_id) REFERENCES address(address_id) ON UPDATE CASCADE ON DELETE RESTRICT"
"store_address_id_fkey","store","FOREIGN KEY (address_id) REFERENCES address(address_id) ON UPDATE CASCADE ON DELETE RESTRICT"
"store_manager_staff_id_fkey","store","FOREIGN KEY (manager_staff_id) REFERENCES staff(staff_id) ON UPDATE CASCADE ON DELETE RESTRICT"
