"table_name","column_name","data_type","is_nullable","character_maximum_length","numeric_precision","ordinal_position"
"actor","actor_id","integer","NO",NULL,32,1
"actor","first_name","character varying","NO",45,NULL,2
"actor","last_name","character varying","NO",45,NULL,3
"actor","last_update","timestamp without time zone","NO",NULL,NULL,4
"actor_info","actor_id","integer","YES",NULL,32,1
"actor_info","first_name","character varying","YES",45,NULL,2
"actor_info","last_name","character varying","YES",45,NULL,3
"actor_info","film_info","text","YES",NULL,NULL,4
"address","address_id","integer","NO",NULL,32,1
"address","address","character varying","NO",50,NULL,2
"address","address2","character varying","YES",50,NULL,3
"address","district","character varying","NO",20,NULL,4
"address","city_id","smallint","NO",NULL,16,5
"address","postal_code","character varying","YES",10,NULL,6
"address","phone","character varying","NO",20,NULL,7
"address","last_update","timestamp without time zone","NO",NULL,NULL,8
"category","category_id","integer","NO",NULL,32,1
"category","name","character varying","NO",25,NULL,2
"category","last_update","timestamp without time zone","NO",NULL,NULL,3
"city","city_id","integer","NO",NULL,32,1
"city","city","character varying","NO",50,NULL,2
"city","country_id","smallint","NO",NULL,16,3
"city","last_update","timestamp without time zone","NO",NULL,NULL,4
"country","country_id","integer","NO",NULL,32,1
"country","country","character varying","NO",50,NULL,2
"country","last_update","timestamp without time zone","NO",NULL,NULL,3
"customer","customer_id","integer","NO",NULL,32,1
"customer","store_id","smallint","NO",NULL,16,2
"customer","first_name","character varying","NO",45,NULL,3
"customer","last_name","character varying","NO",45,NULL,4
"customer","email","character varying","YES",50,NULL,5
"customer","address_id","smallint","NO",NULL,16,6
"customer","activebool","boolean","NO",NULL,NULL,7
"customer","create_date","date","NO",NULL,NULL,8
"customer","last_update","timestamp without time zone","YES",NULL,NULL,9
"customer","active","integer","YES",NULL,32,10
"customer_list","id","integer","YES",NULL,32,1
"customer_list","name","text","YES",NULL,NULL,2
"customer_list","address","character varying","YES",50,NULL,3
"customer_list","zip code","character varying","YES",10,NULL,4
"customer_list","phone","character varying","YES",20,NULL,5
"customer_list","city","character varying","YES",50,NULL,6
"customer_list","country","character varying","YES",50,NULL,7
"customer_list","notes","text","YES",NULL,NULL,8
"customer_list","sid","smallint","YES",NULL,16,9
"film","film_id","integer","NO",NULL,32,1
"film","title","character varying","NO",255,NULL,2
"film","description","text","YES",NULL,NULL,3
"film","release_year","integer","YES",NULL,32,4
"film","language_id","smallint","NO",NULL,16,5
"film","rental_duration","smallint","NO",NULL,16,6
